id,lat,lng,pano_id,koppen_code,country,land_use,built_fraction_100m,built_fraction_500m,game_selected,environment_visibility,cultural_dominance,irrigated_or_ornamental,headings_reviewed,reviewer,notes
loc_am_uUYHsFIj,5.049606368011357,7.894428440714012,uUYHsFIjb2aKyXLSEq-E_g,Am,Nigeria,urban,0.221017,0.254597,False,,,,,,
loc_af_Qq17K_TQ,2.121290677887553,100.8222784613215,Qq17K_TQ8UylritpSUBWTw,Af,Indonesia,mixed,0.108543,0.063714,False,,,,,,
loc_aw_WY5KSSSa,5.24401414634533,-2.007170122934495,WY5KSSSaFIi3N4Zt5ZkVdQ,Aw,Ghana,mixed,0.0587,0.06151,True,,,,,,
loc_bsh_usbNp6ZW,-20.11713545725323,-63.48363434930351,usbNp6ZWiSNF4F0vbQ28kQ,BSh,Bolivia,rural,0.0,0.0,True,,,,,,
loc_csa_xr8vnrwS,-32.09402635771125,115.9591834089768,xr8vnrwSqgMje1TvtVrhqw,Csa,Australia,mixed,0.10733,0.088364,True,,,,,,
loc_csa_uq2NsgVZ,37.81058321537731,21.29889563566843,uq2NsgVZOUBkOxSXsnOcgg,Csa,Greece,rural,0.042057,0.033042,True,,,,,,
loc_cfb_GFc_xlVL,42.65133760149727,23.21724800602325,GFc_xlVLttagLCPraoUrwA,Cfb,Bulgaria,mixed,0.094989,0.041569,True,,,,,,
loc_bsk_JfwZ0ZU1,-50.34845763379467,-72.28200315726416,JfwZ0ZU1Vh-kxvkKX1lU3g,BSk,Argentina,mixed,0.127913,0.105165,True,,,,,,
loc_cfa_ek9jYRlt,34.05469942380722,131.3548993135264,ek9jYRltqT43Yvor1U2CJg,Cfa,Japan,urban,0.249525,0.108693,False,,,,,,
loc_aw_EJKahXnJ,-10.18937167231512,123.5574418303278,EJKahXnJcim8-1bjSTErfA,Aw,Indonesia,urban,0.234556,0.203404,True,,,,,,
loc_bsh_CGrurwgG,-3.562067076673027,-80.42621899090237,CGrurwgGJMb_CQmUY90--A,BSh,Peru,urban,0.4773,0.393824,True,,,,,,
